SPEC_ID,NAME,RA,DEC,Z,Z_HELIO,Quality
4,g2358173-300641,359.5719167,-30.11144444,0.02961,0.029673,4
5,g2358428-293647,359.678125,-29.61297222,0.060698,0.060763,4
7,g2357598-285729,359.4992083,-28.95808333,0.063079,0.063144,4
9,g2356212-293125,359.0884167,-29.52369444,0.059348,0.059413,3
10,g2353082-301307,358.2842917,-30.21863889,0.029508,0.029572,4
11,g2357286-290251,359.369125,-29.04758333,0.029947,0.03001,4
12,g2352322-300003,358.1340833,-30.00077778,-0.000683,-0.000621,4
13,g2356252-290124,359.1051667,-29.02338889,0.029431,0.029494,4
15,g2356016-285145,359.0066667,-28.86258333,0.027831,0.027894,4
16,g2353188-291259,358.328375,-29.21633333,0.071727,0.071792,4
17,g2354507-285335,358.711125,-28.89313889,0.0303,0.030363,4
18,g2351155-291810,357.81475,-29.30269444,0.061997,0.062062,4
19,g2352102-290445,358.0425833,-29.07905556,0.029086,0.029149,4
20,g2355072-284005,358.7799583,-28.66808333,0.059055,0.05912,4
21,g2352443-283414,358.1845833,-28.57052778,0.058355,0.05842,4
23,g2351080-281740,357.7835,-28.29455556,0.062414,0.06248,4
26,g2353513-275451,358.4637083,-27.91427778,0.074318,0.074384,3
27,g2349088-274645,357.28675,-27.77925,0.03197,0.032033,4
29,g2349258-273400,357.3575833,-27.56666667,0.072474,0.07254,4
30,g2355044-273958,358.7682917,-27.666,0.069766,0.069831,4
32,g2354234-274338,358.5974583,-27.72727778,0.042927,0.042991,4
34,g2349286-270024,357.369125,-27.00666667,0.110846,0.110914,4
35,g2354359-273403,358.6495833,-27.56747222,0.04988,0.049945,4
36,g2355060-272823,358.775125,-27.47294444,0.128885,0.128954,4
37,g2355294-275300,358.8723333,-27.88344444,0.070839,0.070904,4
39,g2356099-272760,359.0413333,-27.46658333,0.009973,0.010035,4
40,g2356062-270231,359.0259583,-27.04183333,0.0632,0.063265,4
43,g2358367-272733,359.6529583,-27.45922222,0.102234,0.102302,4
44,g2356001-263535,359.0005417,-26.593,0.100575,0.100642,4
47,g2354452-254023,358.6884583,-25.67302778,0.030223,0.030287,4
50,g2356267-253130,359.1110417,-25.52508333,0.050209,0.050274,4
53,g2357392-282735,359.4132083,-28.45961111,0.028548,0.028611,4
85,g2359019-281831,359.7579167,-28.3085,0.06058,0.060645,4
104,g2359112-283554,359.7965833,-28.59830556,0.030451,0.030514,4
112,g2358173-300641,359.5719167,-30.11144444,0.03023,0.030245,4
113,g2358428-293647,359.678125,-29.61297222,0.060708,0.060724,4
115,g2357286-290251,359.369125,-29.04758333,0.029547,0.029563,4
116,g2357598-285729,359.4992083,-28.95808333,0.062558,0.062575,4
117,g2355497-295211,358.9571667,-29.86966667,0.028336,0.028351,4
118,g2356252-290124,359.1051667,-29.02338889,0.029677,0.029692,4
119,g2353082-301307,358.2842917,-30.21863889,0.028748,0.028764,4
121,g2352322-300003,358.1340833,-30.00077778,0.049657,0.049672,4
122,g2353582-291951,358.4924583,-29.33088889,0.062927,0.062943,4
123,g2355072-284005,358.7799583,-28.66808333,0.059414,0.059431,4
124,g2354507-285335,358.711125,-28.89313889,0.03019,0.030205,4
126,g2349159-290148,357.3160833,-29.03011111,0.034597,0.034613,4
127,g2352443-283414,358.1845833,-28.57052778,0.058307,0.058323,4
128,g2348139-282454,357.0577083,-28.41494444,0.053556,0.053572,4
129,g2348262-281644,357.109125,-28.27875,0.027375,0.02739,4
130,g2354330-281759,358.6375417,-28.29980556,0.107351,0.107368,3
131,g2349156-275834,357.3147917,-27.97622222,0.034035,0.03405,4
132,g2349088-274645,357.28675,-27.77925,0.032128,0.032144,4
133,g2351353-280445,357.8970417,-28.07925,0.028076,0.028092,4
135,g2349258-273400,357.3575833,-27.56666667,0.072613,0.072629,4
136,g2354234-274338,358.5974583,-27.72727778,0.042616,0.042632,4
138,g2355044-273958,358.7682917,-27.666,0.069398,0.069414,4
139,g2354359-273403,358.6495833,-27.56747222,0.050059,0.050075,4
140,g2353513-275451,358.4637083,-27.91427778,0.073197,0.073213,4
141,g2349286-270024,357.369125,-27.00666667,0.111514,0.111531,4
142,g2355060-272823,358.775125,-27.47294444,0.129301,0.129318,3
143,g2357392-282735,359.4132083,-28.45961111,0.028768,0.028783,4
144,g2356099-272760,359.0413333,-27.46658333,0.009849,0.009865,4
146,g2355294-275300,358.8723333,-27.88344444,0.070408,0.070424,4
147,g2358367-272733,359.6529583,-27.45922222,0.102338,0.102354,4
149,g2356062-270231,359.0259583,-27.04183333,0.06334,0.063356,4
153,g2356001-263535,359.0005417,-26.593,0.100587,0.100604,4
155,g2359019-281831,359.7579167,-28.3085,0.060999,0.061015,4
156,g2354452-254023,358.6884583,-25.67302778,0.029519,0.029535,4
157,g2355296-254408,358.873125,-25.73561111,0.058151,0.058167,4
196,g2359112-283554,359.7965833,-28.59830556,0.030308,0.030323,4
210,g2354382-654611,358.6591667,-65.76977778,0.032029,0.031972,4
212,g2358590-644016,359.74575,-64.671,0.071001,0.070941,4
213,g2357432-651258,359.4300417,-65.21619444,0.161513,0.161448,4
214,g2357217-644131,359.3404167,-64.69183333,0.096378,0.096317,4
215,g2352467-652206,358.1947083,-65.36822222,0.070491,0.070431,4
216,g2357222-643432,359.3426667,-64.57566667,0.041149,0.04109,4
217,g2348354-654022,357.1474583,-65.67272222,0.070297,0.070238,4
218,g2355273-643949,358.8637083,-64.66372222,0.069997,0.069937,4
219,g2355169-643223,358.8204167,-64.53963889,0.069487,0.069427,4
220,g2349515-644106,357.464375,-64.68491667,0.095438,0.095377,4
221,g2344395-650143,356.16475,-65.02861111,0.054779,0.05472,4
222,g2345580-645209,356.4918333,-64.86919444,0.06979,0.06973,4
224,g2351224-635656,357.843375,-63.94886111,0.031593,0.031536,4
225,g2350292-642810,357.6215,-64.46952778,0.092991,0.09293,4
228,g2345238-640316,356.34925,-64.05444444,0.041127,0.041069,4
229,g2350000-635316,357.5000833,-63.88780556,0.045827,0.045769,3
230,g2347218-634625,356.8409583,-63.77372222,0.030386,0.030329,4
231,g2343115-634737,355.79775,-63.79347222,0.116831,0.116768,4
232,g2342367-633734,355.652875,-63.626,0.070274,0.070215,4
233,g2348248-632720,357.1031667,-63.45544444,0.043233,0.043175,4
234,g2339535-631404,354.9730833,-63.23441667,0.030922,0.030864,4
235,g2343469-630528,355.9452083,-63.091,0.075224,0.075164,3
236,g2347083-632120,356.784625,-63.35544444,0.030016,0.029958,4
240,g2352003-630802,358.0014167,-63.13383333,0.030526,0.030468,4
241,g2351382-633428,357.9092083,-63.57438889,0.071019,0.070959,4
242,g2340420-622641,355.174875,-62.44477778,0.030824,0.030766,4
243,g2347571-624156,356.9878333,-62.69891667,0.037252,0.037194,4
244,g2353350-624403,358.396,-62.73422222,0.095706,0.095645,4
